seller_id,seller_state,seller_city,delivered_orders,late_deliveries,late_delivery_rate,late_dispatch_rate,avg_approval_to_carrier_days,avg_carrier_to_delivery_days,avg_purchase_to_delivery_days,avg_review_score,item_value,freight_value,late_rate_ci95_lower,late_rate_ci95_upper,minimum_volume_met,elevated_late_rate,overall_comparison_rate
ad781527c93d00d89a11eecd9dcad7c1,SP,sao jose do rio preto,33,12,0.36363636363636365,0.5454545454545454,12.538910634118967,14.896114969135803,27.977253787878787,3.3636363636363638,5259.68,1871.6,0.2218717823524236,0.5338382169773361,True,True,0.06850149692735963
ede0c03645598cdfc63ca8237acbe73d,SP,ribeirao preto,43,14,0.32558139534883723,0.18604651162790697,3.4690067829457365,14.87057035960379,18.589664621016365,3.5714285714285716,2352.15,708.3,0.20493297126568708,0.47483789032470525,True,True,0.06850149692735963
54965bbe3e4f07ae045b90b0b8541f52,PR,foz do iguacu,72,22,0.3055555555555556,0.5416666666666666,15.521046130952382,10.895191615226338,26.36203816229424,3.176470588235294,10191.7,2055.18,0.21126630975195265,0.4195424795911143,True,True,0.06850149692735963
2a1348e9addc1af5aaa619b1a3679d6b,MG,belo horizonte,45,13,0.28888888888888886,0.4444444444444444,4.9844099794238685,23.411318158436213,28.73373791152263,3.272727272727273,2607.8,709.51,0.1773008248284927,0.43368540574761577,True,True,0.06850149692735963
835f0f7810c76831d6c7d24c7a646d4d,SP,sao paulo,40,11,0.275,0.775,9.830827546296296,8.316131076388888,18.347696180555555,3.475,4750.5,870.29,0.16108016247667337,0.42834955806210573,True,True,0.06850149692735963
beadbee30901a7f61d031b6b686095ad,SP,guarulhos,63,15,0.23809523809523808,0.2857142857142857,7.210902961493239,6.543160089653146,14.129264770723104,3.9365079365079363,4338.98,920.76,0.14993783678290606,0.35635660109696865,True,True,0.06850149692735963
a49928bcdf77c55c6d6e05e09a9b4ca5,SP,sao paulo,93,21,0.22580645161290322,0.5698924731182796,7.015089232377539,9.651432696136997,17.03883276085225,3.086021505376344,8387.2,1644.52,0.15270154318255835,0.32066450663678026,True,True,0.06850149692735963
ef990a83bbea832f36ebe81376335aa8,SC,joinville,40,9,0.225,0.0,1.8191331018518517,15.211670717592593,17.469218460648147,3.75,4154.79,840.58,0.12316091323540743,0.37503096742310027,True,True,0.06850149692735963
712e6ed8aa4aa1fa65dab41fed5737e4,SC,videira,77,16,0.2077922077922078,0.19480519480519481,7.395758778258777,16.643938642376142,24.691598875661377,3.3947368421052633,39385.0,6764.82,0.13215077794236726,0.31120414592399037,True,True,0.06850149692735963
3fd1e727ba94cfe122d165e176ce7967,SP,araraquara,34,7,0.20588235294117646,0.0,2.0831267020697166,13.31385246459695,15.692170138888889,4.0,2642.5,540.77,0.10349526899031913,0.36798388051163594,True,True,0.06850149692735963
71039d19d4303bf9054d69e9a9236699,SP,sao paulo,34,7,0.20588235294117646,0.058823529411764705,1.817146309912854,11.733649918300655,14.089669458061003,3.8823529411764706,3507.2999999999997,597.85,0.10349526899031913,0.36798388051163594,True,True,0.06850149692735963
66e0557ecc2b4dbea057e93f215f68d8,SP,sao paulo,30,6,0.2,0.26666666666666666,17.92581288580247,13.606077932098765,31.725889660493827,4.033333333333333,12141.0,487.42,0.0950510717728987,0.3730569641314825,True,True,0.06850149692735963
d20b021d3efdf267a402c402a48ea64b,SP,ibitinga,73,14,0.1917808219178082,0.2054794520547945,3.8571627217005733,14.0214066463724,18.082350805428717,3.875,3320.0299999999997,1260.8,0.11782360890987197,0.29655502613133206,True,True,0.06850149692735963
06a2c3af7b3aee5d69171b0e14f0ee87,MA,sao luis,388,74,0.19072164948453607,0.3118556701030928,4.675575473000101,12.924593505393279,17.769048181557846,4.018229166666667,36030.99,12042.63,0.15473639711547998,0.2327709873192449,True,True,0.06850149692735963
002100f778ceb8431b7a1020ff7ab48f,SP,franca,48,9,0.1875,0.08333333333333333,3.562756558641975,11.936276041666666,16.479170042438273,4.0,1158.8,751.64,0.10191390954847647,0.31939867149284695,True,True,0.06850149692735963
0b35c634521043bf4b47e21547b99ab5,PR,teixeira soares,43,8,0.18604651162790697,0.09302325581395349,3.615331879844961,16.781422265288544,20.81037602282515,3.4761904761904763,11260.55,1239.58,0.09741751428996226,0.32617003657274385,True,True,0.06850149692735963
88460e8ebdecbfecb5f9601833981930,PR,maringa,227,42,0.18502202643171806,0.5110132158590308,8.007291821676587,9.933295602871594,18.175387553026596,3.519911504424779,28445.9,4656.91,0.13989726317522522,0.24062995784240354,True,True,0.06850149692735963
ea566164622c6b439516ab18062c42cd,SP,sao  paulo,50,9,0.18,0.08,3.6400641396604936,10.105730787037038,14.027645138888888,3.78,10309.42,858.56,0.09770192670234178,0.30796053674300783,True,True,0.06850149692735963
602044f2c16190c2c6e45eb35c2e21cb,SP,ibitinga,45,8,0.17777777777777778,0.0,1.5555313552188552,13.173315586419752,15.129894290123456,3.2954545454545454,3436.68,840.89,0.09294389514104148,0.3132982462645977,True,True,0.06850149692735963
6039e27294dc75811c0d8a39069f52c0,SP,osasco,62,11,0.1774193548387097,0.3548387096774194,5.951984206989247,11.62673424432497,18.17080570489845,3.7419354838709675,13420.9,2302.11,0.10206437766005086,0.2904156688569637,True,True,0.06850149692735963
cac4c8e7b1ca6252d8f20b2fc1a2e4af,SP,indaiatuba,69,12,0.17391304347826086,0.30434782608695654,5.7670550789760355,12.512373523886204,18.70012463097155,3.6838235294117645,3913.2400000000002,1450.28,0.10238368967996812,0.2798362613128917,True,True,0.06850149692735963
2a261b5b644fa05f4f2700eb93544f2c,SP,porto ferreira,46,8,0.17391304347826086,0.021739130434782608,1.8664243827160496,12.596492552334944,14.831641505636071,4.0,4895.0,1820.42,0.09085791702246311,0.30723353716378493,True,True,0.06850149692735963
bbad7e518d7af88a0897397ffdca1979,SP,sao paulo,64,11,0.171875,0.390625,4.786337815990594,8.61118869357639,13.6964013671875,3.3174603174603177,4224.72,1243.72,0.09877742301244645,0.282132116226582,True,True,0.06850149692735963
dd55f1bb788714a40e7954c3be6df745,SP,sao paulo,35,6,0.17142857142857143,0.08571428571428572,3.268533068783069,14.39077943121693,18.29500925925926,3.742857142857143,7041.759999999999,659.42,0.08102640053701589,0.3268228229904496,True,True,0.06850149692735963
ec8879960bd2221d5c32f8e12f7da711,SP,itatiba,35,6,0.17142857142857143,0.0,2.0139007936507936,14.081410383597882,16.495119378306878,4.294117647058823,3957.5,798.76,0.08102640053701589,0.3268228229904496,True,True,0.06850149692735963
1ca7077d890b907f89be8c954a02686a,SP,santana de parnaiba,106,18,0.16981132075471697,0.5188679245283019,5.383425925925926,9.86651194531796,15.569002664220825,2.3904761904761904,12324.64,1464.87,0.11019962137211899,0.25251823806319285,True,True,0.06850149692735963
6973a06f484aacf400ece213dbf3d946,SP,sao jose dos campos,77,13,0.16883116883116883,0.2987012987012987,6.340975228475228,8.851545965608466,15.485954936267436,3.8552631578947367,9155.17,1089.72,0.10140668708276009,0.2677288932991118,True,True,0.06850149692735963
3c03b12bab54d8b37d79d914bfdb1aa0,RJ,sao joao de meriti,36,6,0.16666666666666666,0.0,1.4277514146090535,12.00930652006173,13.765113811728396,3.8,4068.66,673.96,0.07870447595018114,0.31890794311279463,True,True,0.06850149692735963
c60b801f2d52c7f7f91de00870882a75,SP,guarulhos,36,6,0.16666666666666666,0.4166666666666667,7.292691936728395,8.755448173868313,16.493489261831275,3.5833333333333335,10627.5,622.75,0.07870447595018114,0.31890794311279463,True,True,0.06850149692735963
abe42c5d03695b4257b5c6cbf4e6784e,RJ,rio de janeiro,49,8,0.16326530612244897,0.0,1.6645476662887377,12.416795162509448,14.357426303854876,3.9583333333333335,17000.0,947.55,0.08512698370728837,0.2903633843391683,True,True,0.06850149692735963
b17b679f4f5ce2e03ce6968c62648246,SP,ribeirao preto,50,8,0.16,0.18,3.9485194444444445,14.62440185185185,19.22530671296296,3.98,3424.18,980.18,0.08337420678033404,0.2851421606303499,True,True,0.06850149692735963
e5a3438891c0bfdb9394643f95273d8e,SP,limeira,213,34,0.1596244131455399,0.1784037558685446,3.377090777690836,11.84160488393323,15.781793981481481,4.018867924528302,7478.5599999999995,3265.72,0.11653409589998884,0.21477459023138293,True,True,0.06850149692735963
8b9d6eec4a7eb7d0f9d579ce0b38324d,RJ,mesquita,44,7,0.1590909090909091,0.22727272727272727,2.0631885228251505,8.471015888047138,10.813396201599327,4.2727272727272725,3859.5899999999997,1609.84,0.0792667701220125,0.29366205062240613,True,True,0.06850149692735963
05f51e13da97139648b8125c31e5f51b,MG,belo horizonte,57,9,0.15789473684210525,0.19298245614035087,4.991830531189084,7.338907366796621,12.507035209551658,4.228070175438597,13100.31,1888.65,0.0853579597035527,0.2736317694063802,True,True,0.06850149692735963
