volume_band,lanes,delivered_orders,late_deliveries,weighted_late_delivery_rate,unweighted_average_lane_late_rate
30–49,26,987,80,0.08105369807497467,0.08177247968561216
50–99,28,1975,138,0.06987341772151899,0.07098921674585171
100–499,43,9812,785,0.08000407664084794,0.07405273728018869
500–999,10,7443,530,0.07120784629853553,0.0670590272299445
"1,000+",17,72814,4808,0.06603125772516275,0.07289102422224283
