delivery_outcome,delivered_orders,late_dispatch_rate,avg_approval_to_carrier_days,avg_carrier_to_delivery_days,avg_purchase_to_delivery_days,avg_review_score
Late,6521,0.27791411042944786,5.5783207810932085,27.895517020279485,33.961458008528005,2.2726487674674205
On time,88674,0.07721541827367662,2.6633707684092522,8.00241012438442,11.033430971326306,4.3107940071509026
