seller_state,customer_state,route_proxy,delivered_orders,late_deliveries,late_delivery_rate,late_dispatch_rate,avg_carrier_to_delivery_days,avg_review_score,on_time_delivery_rate,late_rate_ci95_lower,late_rate_ci95_upper,late_order_share,expected_late_deliveries_at_overall_rate,excess_late_deliveries_vs_overall
PR,AL,PR → AL,35,11,0.3142857142857143,0.14285714285714285,25.64673082010582,3.5428571428571427,0.6857142857142857,0.18550844674265818,0.4797976361206918,0.001686857843888974,2.397552392457587,8.602447607542413
SP,AL,SP → AL,254,61,0.24015748031496062,0.09448818897637795,21.774578548775153,3.7142857142857144,0.7598425196850394,0.1917439706328919,0.29631353337078237,0.009354393497929766,17.399380219549347,43.60061978045066
RJ,CE,RJ → CE,54,11,0.2037037037037037,0.1111111111111111,21.534854038065845,3.6481481481481484,0.7962962962962963,0.11774054087421391,0.3290230668833543,0.001686857843888974,3.69908083407742,7.30091916592258
MA,SP,MA → SP,123,25,0.2032520325203252,0.3170731707317073,10.825950485546523,3.9262295081967213,0.7967479674796748,0.14163307280746557,0.28284532188527917,0.003833767827020396,8.425684122065235,16.574315877934765
SP,MA,SP → MA,486,93,0.19135802469135801,0.08641975308641975,18.581455689871973,3.720954356846473,0.808641975308642,0.15885900400915007,0.2286979399819574,0.014261616316515872,33.29172750669678,59.70827249330322
PR,MA,PR → MA,40,7,0.175,0.1,18.118152199074075,3.875,0.825,0.0874541374603592,0.31949990331787714,0.0010734549915657108,2.740059877094385,4.259940122905615
MG,AL,MG → AL,35,6,0.17142857142857143,0.11428571428571428,18.662001322751323,4.147058823529412,0.8285714285714285,0.08102640053701589,0.3268228229904496,0.0009201042784848949,2.397552392457587,3.602447607542413
SP,SE,SP → SE,205,34,0.16585365853658537,0.11219512195121951,17.848156729900634,3.8390243902439023,0.8341463414634146,0.12118132426601284,0.22281866130378408,0.005213924244747738,14.042806870108723,19.957193129891277
SP,PI,SP → PI,327,54,0.1651376146788991,0.08256880733944955,16.97778524606411,3.9690402476780187,0.8348623853211009,0.12882727886594653,0.20922424351386726,0.008280938506364055,22.399989495246597,31.600010504753403
SP,RR,SP → RR,33,5,0.15151515151515152,0.09090909090909091,27.48308782267116,3.757575757575758,0.8484848484848485,0.06650457281607568,0.3091987588044212,0.0007667535654040791,2.2605493986028677,2.7394506013971323
MG,MA,MG → MA,60,9,0.15,0.08333333333333333,16.669783179012345,4.372881355932203,0.85,0.08097440580167739,0.2611458906977855,0.0013801564177273425,4.110089815641578,4.889910184358422
PR,BA,PR → BA,143,21,0.14685314685314685,0.14685314685314685,17.763000922688423,3.8226950354609928,0.8531468531468531,0.09810081645768931,0.21408253549790818,0.0032203649746971323,9.795714060612427,11.204285939387573
PR,CE,PR → CE,63,9,0.14285714285714285,0.047619047619047616,22.480376984126984,3.5,0.8571428571428572,0.07701948334720692,0.24974565921625858,0.0013801564177273425,4.315594306423657,4.684405693576343
RS,BA,RS → BA,42,6,0.14285714285714285,0.07142857142857142,17.30822558421517,4.073170731707317,0.8571428571428572,0.06715967015962647,0.27841089474444775,0.0009201042784848949,2.8770628709491044,3.1229371290508956
SP,RJ,SP → RJ,8048,1147,0.14251988071570576,0.095551689860835,12.934095640278699,3.9036101687816727,0.8574801192842942,0.13505280241625556,0.15032805990852816,0.17589326790369575,551.3000472713903,595.6999527286097
SP,CE,SP → CE,961,133,0.1383975026014568,0.08949011446409989,17.98764440494084,3.9728033472803346,0.8616024973985432,0.11800066869851031,0.16167373413085792,0.020395644839748504,65.8299385471926,67.1700614528074
SP,BA,SP → BA,2278,297,0.13037752414398596,0.08516242317822652,16.570076196834453,3.8895271763146266,0.869622475856014,0.11717009932724108,0.14482946094443164,0.0455451617850023,156.04641000052524,140.95358999947476
MA,MG,MA → MG,31,4,0.12903225806451613,0.2903225806451613,13.202214755077659,4.258064516129032,0.8709677419354839,0.051342843746291486,0.28852406256306423,0.0006134028523232633,2.1235464047481485,1.8764535952518515
SP,MS,SP → MS,471,59,0.12526539278131635,0.09554140127388536,12.8026973735944,4.09660297239915,0.8747346072186837,0.09836970968273284,0.15822426828055813,0.009047692071768134,32.26420505278639,26.735794947213613
MG,PB,MG → PB,48,6,0.125,0.08333333333333333,16.081279176311728,4.148936170212766,0.875,0.058570514385719794,0.24700458286386834,0.0009201042784848949,3.288071852513262,2.711928147486738
PR,PB,PR → PB,40,5,0.125,0.1,18.506712673611112,4.025,0.875,0.05459500250945401,0.261121198388511,0.0007667535654040791,2.740059877094385,2.259940122905615
SP,ES,SP → ES,1444,180,0.12465373961218837,0.09002770083102493,12.489839638157894,4.06013986013986,0.8753462603878116,0.10860557012807816,0.1426936702715253,0.027603128354546848,98.91616156310731,81.08383843689269
MG,CE,MG → CE,73,9,0.1232876712328767,0.0821917808219178,17.23612839294774,4.034246575342466,0.8767123287671232,0.06623751038902924,0.21800304355022015,0.0013801564177273425,5.000609275697252,3.9993907243027476
PR,RJ,PR → RJ,951,117,0.12302839116719243,0.11777076761303891,13.897363788604588,3.912046908315565,0.8769716088328076,0.10365562161843313,0.1454343782171913,0.017942033430455452,65.144923577919,51.855076422081
SP,PA,SP → PA,675,81,0.12,0.07703703703703704,19.900853206447188,3.8828828828828827,0.88,0.09761063587116624,0.14669008658146565,0.012421407759546081,46.238510425967746,34.761489574032254
SC,BA,SC → BA,76,9,0.11842105263157894,0.06578947368421052,18.316020193713452,3.7466666666666666,0.881578947368421,0.06356819004179068,0.2099921775079194,0.0013801564177273425,5.206113766479332,3.7938862335206682
PR,PA,PR → PA,53,6,0.11320754716981132,0.09433962264150944,20.99565426275332,4.132075471698113,0.8867924528301887,0.05293030947702562,0.22576519111992185,0.0009201042784848949,3.6305793371500603,2.3694206628499397
RJ,BA,RJ → BA,135,15,0.1111111111111111,0.05925925925925926,14.231519975994512,4.18796992481203,0.8888888888888888,0.06850037601571249,0.17524136444236246,0.0023002606962122373,9.24770208519355,5.75229791480645
