lane_type,delivered_orders,late_delivery_rate,late_dispatch_rate,avg_carrier_to_delivery_days,avg_review_score
Between states,60961,0.08137989862371024,0.09045275590551181,11.920894431434789,4.112985997544202
Within state,34234,0.04556873283869837,0.09186773383186306,4.8133759766163875,4.281221222986344
